Population: 200, Number of Generations: 200
Generation 0, Best fitness: 27.109042411828618, Average fitness: 22.17899444003092
Generation 1, Best fitness: 27.109042411828618, Average fitness: 21.956120661612378
Generation 2, Best fitness: 27.109042411828618, Average fitness: 21.73712613643506
Generation 3, Best fitness: 26.46256269869204, Average fitness: 21.678119135172427
Generation 4, Best fitness: 26.41826038237213, Average fitness: 21.570113706596718
Generation 5, Best fitness: 26.987323159239057, Average fitness: 21.487585037871103
Generation 6, Best fitness: 26.9622522763321, Average fitness: 21.416391324047098
Generation 7, Best fitness: 26.9622522763321, Average fitness: 21.2646003828036
Generation 8, Best fitness: 26.313055922619938, Average fitness: 21.207111520951983
Generation 9, Best fitness: 26.411119662589684, Average fitness: 21.096656513929723
Generation 10, Best fitness: 26.411119662589684, Average fitness: 20.98381415293065
Generation 11, Best fitness: 26.41826038237213, Average fitness: 21.062741942511977
Generation 12, Best fitness: 26.454808547864598, Average fitness: 21.097200546455166
Generation 13, Best fitness: 26.718633218715894, Average fitness: 20.858958249606303
Generation 14, Best fitness: 26.718633218715894, Average fitness: 20.806453826194783
Generation 15, Best fitness: 26.74488018976604, Average fitness: 20.773234195290794
Generation 16, Best fitness: 26.905424383559172, Average fitness: 20.65296155288689
Generation 17, Best fitness: 26.594869810124884, Average fitness: 20.703081099923466
Generation 18, Best fitness: 26.46341219398463, Average fitness: 20.69250921341375
Generation 19, Best fitness: 26.905424383559172, Average fitness: 20.575939310773848
Generation 20, Best fitness: 26.905424383559172, Average fitness: 20.635724395704383
Generation 21, Best fitness: 26.823880897151366, Average fitness: 20.55548850611767
Generation 22, Best fitness: 27.031020940236807, Average fitness: 20.40007561926863
Generation 23, Best fitness: 27.031020940236807, Average fitness: 20.21345115150456
Generation 24, Best fitness: 27.08698211935772, Average fitness: 20.4394981727805
Generation 25, Best fitness: 27.08698211935772, Average fitness: 20.353675991666393
Generation 26, Best fitness: 27.18086945885136, Average fitness: 20.190355621373875
Generation 27, Best fitness: 27.18086945885136, Average fitness: 20.099714971314874
Generation 28, Best fitness: 27.18086945885136, Average fitness: 20.21072416294166
Generation 29, Best fitness: 26.799043305260643, Average fitness: 20.15900943007159
Generation 30, Best fitness: 26.799043305260643, Average fitness: 20.37916331452465
Generation 31, Best fitness: 27.08698211935772, Average fitness: 20.4701787365699
Generation 32, Best fitness: 26.799043305260643, Average fitness: 20.575623089927014
Generation 33, Best fitness: 26.799043305260643, Average fitness: 20.542531481322822
Generation 34, Best fitness: 26.71845611278815, Average fitness: 20.540395519913883
Generation 35, Best fitness: 26.71845611278815, Average fitness: 20.678122288347666
Generation 36, Best fitness: 26.71845611278815, Average fitness: 20.519183584637695
Generation 37, Best fitness: 26.69770513556599, Average fitness: 20.3751603877236
Generation 38, Best fitness: 26.69770513556599, Average fitness: 20.407604752697587
Generation 39, Best fitness: 26.69770513556599, Average fitness: 20.52678141879827
Generation 40, Best fitness: 26.742292541167178, Average fitness: 20.627840751770307
Generation 41, Best fitness: 26.223804696368266, Average fitness: 20.43889089789184
Generation 42, Best fitness: 25.964397389191873, Average fitness: 20.496842780082396
Generation 43, Best fitness: 26.00356610018215, Average fitness: 20.42452285222768
Generation 44, Best fitness: 25.60143528567412, Average fitness: 20.259023976415783
