Population: 200, Number of Generations: 100
Generation 0, Best fitness: 30.138281859972118, Average fitness: 24.401339692205784
Generation 1, Best fitness: 30.138281859972118, Average fitness: 24.118506568518278
Generation 2, Best fitness: 30.138281859972118, Average fitness: 23.875833304273286
Generation 3, Best fitness: 29.84490636648628, Average fitness: 23.65356059611617
Generation 4, Best fitness: 30.26841832126685, Average fitness: 23.60585509997991
Generation 5, Best fitness: 30.26841832126685, Average fitness: 23.523052108269255
Generation 6, Best fitness: 30.288934815823684, Average fitness: 23.477952049077476
Generation 7, Best fitness: 30.515183053038495, Average fitness: 23.38246522407371
Generation 8, Best fitness: 30.014435839001095, Average fitness: 23.288500506107898
Generation 9, Best fitness: 30.014435839001095, Average fitness: 22.95632205522101
Generation 10, Best fitness: 29.879993897582292, Average fitness: 23.001863857903015
Generation 11, Best fitness: 30.497743333031323, Average fitness: 22.91018296512052
Generation 12, Best fitness: 30.497743333031323, Average fitness: 23.01212392567869
Generation 13, Best fitness: 30.497743333031323, Average fitness: 22.92905860066841
Generation 14, Best fitness: 30.497743333031323, Average fitness: 22.87913305595016
Generation 15, Best fitness: 30.497743333031323, Average fitness: 23.028481570870753
Generation 16, Best fitness: 30.497743333031323, Average fitness: 22.99588775360691
Generation 17, Best fitness: 30.497743333031323, Average fitness: 22.83101628077306
Generation 18, Best fitness: 30.497743333031323, Average fitness: 23.078737928369897
Generation 19, Best fitness: 30.497743333031323, Average fitness: 23.089814777360708
Generation 20, Best fitness: 30.497743333031323, Average fitness: 23.111994295022924
Generation 21, Best fitness: 29.95790880856825, Average fitness: 23.186422417249933
Generation 22, Best fitness: 30.048563148529922, Average fitness: 23.119516027981476
Generation 23, Best fitness: 30.18014026297671, Average fitness: 23.10905673061195
Generation 24, Best fitness: 30.316807982338116, Average fitness: 22.899613592721764
Generation 25, Best fitness: 30.316807982338116, Average fitness: 22.937458641931524
Generation 26, Best fitness: 30.316807982338116, Average fitness: 22.895693360094764
Generation 27, Best fitness: 30.316807982338116, Average fitness: 22.936766327689657
Generation 28, Best fitness: 30.316807982338116, Average fitness: 22.95773447513638
Generation 29, Best fitness: 30.325159517261184, Average fitness: 22.865567343382267
Generation 30, Best fitness: 30.316807982338116, Average fitness: 22.907589242457696
Generation 31, Best fitness: 30.316807982338116, Average fitness: 23.133871073906985
Generation 32, Best fitness: 30.286356456829896, Average fitness: 23.12332904483316
Generation 33, Best fitness: 29.63972126570679, Average fitness: 23.02188145389447
Generation 34, Best fitness: 29.755892496536276, Average fitness: 22.98184402865263
Generation 35, Best fitness: 30.631277852329664, Average fitness: 22.828951663436037
Generation 36, Best fitness: 30.631277852329664, Average fitness: 22.934262263352856
Generation 37, Best fitness: 29.53653832445278, Average fitness: 22.926301238713982
Generation 38, Best fitness: 29.53653832445278, Average fitness: 22.788751152485464
Generation 39, Best fitness: 30.02546140523347, Average fitness: 22.912100068103427
Generation 40, Best fitness: 30.044998819685617, Average fitness: 22.658737302202507
Generation 41, Best fitness: 30.018322836043243, Average fitness: 22.95889371984119
Generation 42, Best fitness: 30.409666185141454, Average fitness: 23.002744058474782
Generation 43, Best fitness: 30.409666185141454, Average fitness: 22.9330392711869
Generation 44, Best fitness: 30.044998819685617, Average fitness: 22.851815749726043
Generation 45, Best fitness: 30.268048566876928, Average fitness: 23.03445835716593
Generation 46, Best fitness: 30.268048566876928, Average fitness: 22.814986581256417
Generation 47, Best fitness: 30.47348212232176, Average fitness: 22.87885817956412
Generation 48, Best fitness: 30.47348212232176, Average fitness: 22.84506536360129
Generation 49, Best fitness: 30.47348212232176, Average fitness: 22.956299263831497
