Generation 0, Best fitness: 36.02088912866907, Average fitness: 30.01182593866995
Generation 1, Best fitness: 35.880060612876434, Average fitness: 30.396729118156077
Generation 2, Best fitness: 35.880060612876434, Average fitness: 30.757759919847036
Generation 3, Best fitness: 36.7852846466456, Average fitness: 31.157385733956385
Generation 4, Best fitness: 36.7852846466456, Average fitness: 31.55189483099523
Generation 5, Best fitness: 36.7852846466456, Average fitness: 30.936796222316584
Generation 6, Best fitness: 36.927725156405735, Average fitness: 31.567795776089465
Generation 7, Best fitness: 37.26640667133223, Average fitness: 31.965214006051852
Generation 8, Best fitness: 37.26640667133223, Average fitness: 32.08103333274595
Generation 9, Best fitness: 37.26640667133223, Average fitness: 32.42107702624462
Generation 10, Best fitness: 37.12484028477056, Average fitness: 32.48260388025073
Generation 11, Best fitness: 37.12484028477056, Average fitness: 32.81339683601055
Generation 12, Best fitness: 37.12484028477056, Average fitness: 33.12477187374006
Generation 13, Best fitness: 37.12484028477056, Average fitness: 33.05956334549107
Generation 14, Best fitness: 37.061399200299846, Average fitness: 32.76817824871789
Generation 15, Best fitness: 37.05502971559596, Average fitness: 33.214950040307855
Generation 16, Best fitness: 37.28694706410834, Average fitness: 33.40318564002163
Generation 17, Best fitness: 36.47334373994302, Average fitness: 33.69967646615271
Generation 18, Best fitness: 36.47334373994302, Average fitness: 33.75066971624187
Generation 19, Best fitness: 36.822750386563136, Average fitness: 34.12199544671964
Generation 20, Best fitness: 37.28694706410834, Average fitness: 34.44784351612953
Generation 21, Best fitness: 37.28694706410834, Average fitness: 34.81689930825227
Generation 22, Best fitness: 37.28694706410834, Average fitness: 34.97985097513661
Generation 23, Best fitness: 37.28694706410834, Average fitness: 35.13431010076605
Generation 24, Best fitness: 37.28694706410834, Average fitness: 35.37733147213011
Generation 25, Best fitness: 37.28694706410834, Average fitness: 35.31577964588112
Generation 26, Best fitness: 37.28694706410834, Average fitness: 35.680807810903026
Generation 27, Best fitness: 37.182041643382384, Average fitness: 35.71886472345022
Generation 28, Best fitness: 37.38274110261119, Average fitness: 35.7696399956046
Generation 29, Best fitness: 37.38274110261119, Average fitness: 35.84599908153641
Generation 30, Best fitness: 37.38274110261119, Average fitness: 35.70949166811854
Generation 31, Best fitness: 37.356372609176695, Average fitness: 35.82361388396618
Generation 32, Best fitness: 37.28694706410834, Average fitness: 35.58070571561096
Generation 33, Best fitness: 37.28694706410834, Average fitness: 35.4116314563366
Generation 34, Best fitness: 37.28694706410834, Average fitness: 35.3831872945353
Generation 35, Best fitness: 37.28694706410834, Average fitness: 35.257849057986576
Generation 36, Best fitness: 37.28694706410834, Average fitness: 34.97362160394752
Generation 37, Best fitness: 37.28694706410834, Average fitness: 35.09490229373262
Generation 38, Best fitness: 37.43791057645237, Average fitness: 35.17809436911102
Generation 39, Best fitness: 37.38274110261119, Average fitness: 35.03061008658709
Generation 40, Best fitness: 37.38274110261119, Average fitness: 34.85090695498388
Generation 41, Best fitness: 37.38274110261119, Average fitness: 35.27273720590025
Generation 42, Best fitness: 37.38274110261119, Average fitness: 35.33627580633188
Generation 43, Best fitness: 37.38274110261119, Average fitness: 35.52659353077362
Generation 44, Best fitness: 37.28694706410834, Average fitness: 35.47115054177377
Generation 45, Best fitness: 37.28694706410834, Average fitness: 35.5618439167066
Generation 46, Best fitness: 37.28694706410834, Average fitness: 35.72688998526929
Generation 47, Best fitness: 37.43791057645237, Average fitness: 35.839613978409105
Generation 48, Best fitness: 37.43791057645237, Average fitness: 36.219981662936505
Generation 49, Best fitness: 37.43791057645237, Average fitness: 36.20221961948299
Generation 50, Best fitness: 37.28694706410834, Average fitness: 36.29900132462999
Generation 51, Best fitness: 37.182041643382384, Average fitness: 36.28575681349382
Generation 52, Best fitness: 37.28694706410834, Average fitness: 36.289346911495656
Generation 53, Best fitness: 37.28694706410834, Average fitness: 36.411396511419895
Generation 54, Best fitness: 37.28694706410834, Average fitness: 36.331631623861774
Generation 55, Best fitness: 37.28694706410834, Average fitness: 36.41771780116728
Generation 56, Best fitness: 37.182041643382384, Average fitness: 36.42902687774668
Generation 57, Best fitness: 37.28694706410834, Average fitness: 36.56371354310135
Generation 58, Best fitness: 37.28694706410834, Average fitness: 36.568602549640374
Generation 59, Best fitness: 37.150921631066815, Average fitness: 36.53400828811514
Generation 60, Best fitness: 37.28694706410834, Average fitness: 36.547474330791985
Generation 61, Best fitness: 37.28694706410834, Average fitness: 36.57211401293396
Generation 62, Best fitness: 37.28694706410834, Average fitness: 36.63404390713494
Generation 63, Best fitness: 37.182041643382384, Average fitness: 36.64200109674178
Generation 64, Best fitness: 37.182041643382384, Average fitness: 36.54977059002809
Generation 65, Best fitness: 37.182041643382384, Average fitness: 36.60772457925017
Generation 66, Best fitness: 37.43791057645237, Average fitness: 36.676527992481304
Generation 67, Best fitness: 37.28694706410834, Average fitness: 36.62558880383079
Generation 68, Best fitness: 37.28694706410834, Average fitness: 36.64010030383026
Generation 69, Best fitness: 37.182041643382384, Average fitness: 36.57645541924989
Generation 70, Best fitness: 37.182041643382384, Average fitness: 36.60894232360474
Generation 71, Best fitness: 37.182041643382384, Average fitness: 36.647132791539114
Generation 72, Best fitness: 37.182041643382384, Average fitness: 36.684216080735695
Generation 73, Best fitness: 37.182041643382384, Average fitness: 36.65292703955355
Generation 74, Best fitness: 37.182041643382384, Average fitness: 36.64581524320633
Generation 75, Best fitness: 37.182041643382384, Average fitness: 36.66935020133929
Generation 76, Best fitness: 37.182041643382384, Average fitness: 36.627777726498536
Generation 77, Best fitness: 37.182041643382384, Average fitness: 36.653917813657216
Generation 78, Best fitness: 37.182041643382384, Average fitness: 36.59849769867831
Generation 79, Best fitness: 37.182041643382384, Average fitness: 36.58345189087761
Generation 80, Best fitness: 37.182041643382384, Average fitness: 36.57945327699782
Generation 81, Best fitness: 37.05502971559596, Average fitness: 36.54188877201891
Generation 82, Best fitness: 37.05502971559596, Average fitness: 36.595080503986935
Generation 83, Best fitness: 37.182041643382384, Average fitness: 36.58874100203342
Generation 84, Best fitness: 37.05502971559596, Average fitness: 36.577269712360135
Generation 85, Best fitness: 37.05502971559596, Average fitness: 36.57675254555275
Generation 86, Best fitness: 37.182041643382384, Average fitness: 36.682169819739144
Generation 87, Best fitness: 37.182041643382384, Average fitness: 36.64853737716381
Generation 88, Best fitness: 37.05502971559596, Average fitness: 36.649559325519284
Generation 89, Best fitness: 37.05502971559596, Average fitness: 36.61356466439397
Generation 90, Best fitness: 37.05502971559596, Average fitness: 36.640759442363404
Generation 91, Best fitness: 37.05502971559596, Average fitness: 36.58820987756688
Generation 92, Best fitness: 37.05502971559596, Average fitness: 36.59815564444892
Generation 93, Best fitness: 37.05502971559596, Average fitness: 36.57455241092513
Generation 94, Best fitness: 37.05502971559596, Average fitness: 36.617911918069446
Generation 95, Best fitness: 37.05502971559596, Average fitness: 36.59641722146453
Generation 96, Best fitness: 37.05502971559596, Average fitness: 36.61212240510492
Generation 97, Best fitness: 37.05502971559596, Average fitness: 36.62952010839436
Generation 98, Best fitness: 37.05502971559596, Average fitness: 36.63438136805685
Generation 99, Best fitness: 37.05502971559596, Average fitness: 36.6741549544342
