Population: 700, Number of Generations: 700
Generation 0, Best fitness: 39.840297406842836, Average fitness: 31.178130128376402
Generation 1, Best fitness: 39.16247220603813, Average fitness: 31.12793898835428
Generation 2, Best fitness: 38.60822646025001, Average fitness: 31.06367234343443
Generation 3, Best fitness: 38.57697272991617, Average fitness: 31.047038250489933
Generation 4, Best fitness: 38.57697272991617, Average fitness: 31.000867932797586
Generation 5, Best fitness: 38.28379619342688, Average fitness: 30.986777897329844
Generation 6, Best fitness: 39.53190792777628, Average fitness: 30.97570446620684
Generation 7, Best fitness: 39.53190792777628, Average fitness: 30.905716190749093
Generation 8, Best fitness: 39.53190792777628, Average fitness: 30.892503401215905
Generation 9, Best fitness: 39.53190792777628, Average fitness: 30.800869195522495
Generation 10, Best fitness: 39.53190792777628, Average fitness: 30.75904102533305
Generation 11, Best fitness: 39.53190792777628, Average fitness: 30.829934356682767
Generation 12, Best fitness: 39.66733763491413, Average fitness: 30.798445752196162
Generation 13, Best fitness: 39.53190792777628, Average fitness: 30.751649355925473
Generation 14, Best fitness: 39.63665479214956, Average fitness: 30.747823624362873
Generation 15, Best fitness: 39.63665479214956, Average fitness: 30.771710922472796
Generation 16, Best fitness: 39.336831694531675, Average fitness: 30.791106457452074
Generation 17, Best fitness: 38.537777145042746, Average fitness: 30.770238153652475
Generation 18, Best fitness: 39.44837709971476, Average fitness: 30.75515055607845
Generation 19, Best fitness: 39.401474785346586, Average fitness: 30.708212767267398
Generation 20, Best fitness: 39.49102670531417, Average fitness: 30.726323236220342
Generation 21, Best fitness: 38.67826610821204, Average fitness: 30.74203041164266
Generation 22, Best fitness: 39.07482755288647, Average fitness: 30.697907491963882
Generation 23, Best fitness: 39.401474785346586, Average fitness: 30.76382992058469
Generation 24, Best fitness: 39.91521672865266, Average fitness: 30.70124750166724
Generation 25, Best fitness: 38.55954912713033, Average fitness: 30.658122702067175
Generation 26, Best fitness: 39.47651669040417, Average fitness: 30.644261997074928
Generation 27, Best fitness: 38.42777951120525, Average fitness: 30.695914719336713
Generation 28, Best fitness: 38.9836147926544, Average fitness: 30.683999369030165
Generation 29, Best fitness: 39.262896889501626, Average fitness: 30.67737483764399
Generation 30, Best fitness: 39.170236853065944, Average fitness: 30.700022164291784
Generation 31, Best fitness: 39.55279085068325, Average fitness: 30.707208309994872
Generation 32, Best fitness: 39.55279085068325, Average fitness: 30.703025720065277
Generation 33, Best fitness: 39.27114528126105, Average fitness: 30.702840022228852
Generation 34, Best fitness: 39.277775418908405, Average fitness: 30.685090684181493
Generation 35, Best fitness: 39.277775418908405, Average fitness: 30.679060264486978
Generation 36, Best fitness: 38.94774586663224, Average fitness: 30.669984669099414
Generation 37, Best fitness: 39.43688167731181, Average fitness: 30.664653711963602
Generation 38, Best fitness: 39.43688167731181, Average fitness: 30.682715737827632
Generation 39, Best fitness: 39.43688167731181, Average fitness: 30.6935355032887
Generation 40, Best fitness: 39.14085689636452, Average fitness: 30.731094209997547
Generation 41, Best fitness: 39.24244503022316, Average fitness: 30.768706188065128
Generation 42, Best fitness: 39.2330729579323, Average fitness: 30.728538667544132
Generation 43, Best fitness: 39.2330729579323, Average fitness: 30.73196947295651
Generation 44, Best fitness: 39.2330729579323, Average fitness: 30.697545205733743
Generation 45, Best fitness: 39.2330729579323, Average fitness: 30.678689400179668
Generation 46, Best fitness: 39.42378124035882, Average fitness: 30.701276759448774
Generation 47, Best fitness: 39.42378124035882, Average fitness: 30.73397642320736
Generation 48, Best fitness: 38.77307277061399, Average fitness: 30.74551813571745
Generation 49, Best fitness: 39.74575256299164, Average fitness: 30.737613455524688
Generation 50, Best fitness: 39.74575256299164, Average fitness: 30.73446073898059
Generation 51, Best fitness: 39.74575256299164, Average fitness: 30.760267866938207
Generation 52, Best fitness: 39.74575256299164, Average fitness: 30.770717395320368
Generation 53, Best fitness: 39.74575256299164, Average fitness: 30.684225513836527
Generation 54, Best fitness: 39.33134515812032, Average fitness: 30.7250438709246
Generation 55, Best fitness: 39.52584094099271, Average fitness: 30.71690048123224
Generation 56, Best fitness: 39.64068292719079, Average fitness: 30.74404408538234
Generation 57, Best fitness: 39.64068292719079, Average fitness: 30.740215386605932
Generation 58, Best fitness: 39.64068292719079, Average fitness: 30.735836498163266
Generation 59, Best fitness: 39.64068292719079, Average fitness: 30.675257875864595
