Generation 0, Best fitness: 30.019623631859226, Average fitness: 25.61827502645173
Generation 1, Best fitness: 30.052694079868488, Average fitness: 25.448278898781403
Generation 2, Best fitness: 30.052694079868488, Average fitness: 25.367099721990627
Generation 3, Best fitness: 30.052694079868488, Average fitness: 25.302415543911565
Generation 4, Best fitness: 30.052694079868488, Average fitness: 25.22191986511274
Generation 5, Best fitness: 30.100479018975008, Average fitness: 25.159265838176026
Generation 6, Best fitness: 29.975521289699657, Average fitness: 25.127343832575853
Generation 7, Best fitness: 29.975521289699657, Average fitness: 25.138619099863025
Generation 8, Best fitness: 29.99651260659657, Average fitness: 25.098534775477376
Generation 9, Best fitness: 29.99651260659657, Average fitness: 25.05478712382688
Generation 10, Best fitness: 29.74154924489757, Average fitness: 25.002791475402322
Generation 11, Best fitness: 29.809293945307598, Average fitness: 24.99728723656544
Generation 12, Best fitness: 29.98124056741286, Average fitness: 24.971158484594078
Generation 13, Best fitness: 29.820066571309845, Average fitness: 24.94028626249727
Generation 14, Best fitness: 30.03162355679136, Average fitness: 24.899187008749976
Generation 15, Best fitness: 30.03162355679136, Average fitness: 24.841660790064868
Generation 16, Best fitness: 30.03162355679136, Average fitness: 24.82288517855454
Generation 17, Best fitness: 29.610316856762914, Average fitness: 24.87165048891673
Generation 18, Best fitness: 29.610316856762914, Average fitness: 24.863204301457067
Generation 19, Best fitness: 29.962217018019935, Average fitness: 24.85976577019845
Generation 20, Best fitness: 29.769737634936398, Average fitness: 24.90846591715892
Generation 21, Best fitness: 29.769737634936398, Average fitness: 24.905764181600407
Generation 22, Best fitness: 30.060356087162063, Average fitness: 24.88763768772604
Generation 23, Best fitness: 30.21532598462541, Average fitness: 24.851492749673284
Generation 24, Best fitness: 30.21532598462541, Average fitness: 24.854326471016392
Generation 25, Best fitness: 30.21532598462541, Average fitness: 24.833894852365383
Generation 26, Best fitness: 30.21532598462541, Average fitness: 24.819874822148982
Generation 27, Best fitness: 30.092872652889305, Average fitness: 24.80959146493274
Generation 28, Best fitness: 30.092872652889305, Average fitness: 24.802611443053575
Generation 29, Best fitness: 30.092872652889305, Average fitness: 24.800908389796497
Generation 30, Best fitness: 30.092872652889305, Average fitness: 24.77895776512482
Generation 31, Best fitness: 30.21532598462541, Average fitness: 24.793415722341045
Generation 32, Best fitness: 30.056806460433556, Average fitness: 24.83883327377639
Generation 33, Best fitness: 30.056806460433556, Average fitness: 24.82984293697703
Generation 34, Best fitness: 29.83043257866196, Average fitness: 24.826325634565276
Generation 35, Best fitness: 29.962673882208854, Average fitness: 24.817141418551365
Generation 36, Best fitness: 29.962673882208854, Average fitness: 24.79785793403229
Generation 37, Best fitness: 29.962673882208854, Average fitness: 24.827848912967895
Generation 38, Best fitness: 29.76782150618474, Average fitness: 24.829886737012917
Generation 39, Best fitness: 29.98877082904416, Average fitness: 24.839079935901758
Generation 40, Best fitness: 29.76782150618474, Average fitness: 24.867784569217022
Generation 41, Best fitness: 29.76782150618474, Average fitness: 24.868161990187282
Generation 42, Best fitness: 29.891466127273013, Average fitness: 24.861916994012944
Generation 43, Best fitness: 29.891466127273013, Average fitness: 24.84805254244743
Generation 44, Best fitness: 29.93520348084031, Average fitness: 24.808754883923328
Generation 45, Best fitness: 30.20064363302769, Average fitness: 24.83374191982217
Generation 46, Best fitness: 29.92315040255161, Average fitness: 24.80998986172596
Generation 47, Best fitness: 29.92315040255161, Average fitness: 24.829029481678266
Generation 48, Best fitness: 29.898942508563554, Average fitness: 24.816507227247023
Generation 49, Best fitness: 30.014021225210076, Average fitness: 24.84029174327424
Generation 50, Best fitness: 29.728784133187155, Average fitness: 24.81238593870529
Generation 51, Best fitness: 29.728784133187155, Average fitness: 24.829473625328895
Generation 52, Best fitness: 29.825314364952273, Average fitness: 24.785788516325614
Generation 53, Best fitness: 29.90624047402594, Average fitness: 24.813027952679395
Generation 54, Best fitness: 29.858774074198212, Average fitness: 24.83652158467397
Generation 55, Best fitness: 29.90419968758077, Average fitness: 24.79686269551728
Generation 56, Best fitness: 29.984386019830872, Average fitness: 24.847615526745138
Generation 57, Best fitness: 29.745753641491987, Average fitness: 24.875635902470684
Generation 58, Best fitness: 29.745753641491987, Average fitness: 24.877289411976758
Generation 59, Best fitness: 29.745753641491987, Average fitness: 24.859774649420054
Generation 60, Best fitness: 29.801709302945618, Average fitness: 24.884525157720446
Generation 61, Best fitness: 29.820388570658146, Average fitness: 24.882922952645
Generation 62, Best fitness: 29.820388570658146, Average fitness: 24.87702742422174
Generation 63, Best fitness: 29.73212777273394, Average fitness: 24.858756990054328
Generation 64, Best fitness: 29.734497522873156, Average fitness: 24.897486544429285
Generation 65, Best fitness: 30.023665735617936, Average fitness: 24.888333145524268
Generation 66, Best fitness: 30.023665735617936, Average fitness: 24.879553940311737
Generation 67, Best fitness: 29.542890199681665, Average fitness: 24.85839036027141
Generation 68, Best fitness: 29.628134248298604, Average fitness: 24.855525146307322
Generation 69, Best fitness: 29.825782139246193, Average fitness: 24.796439854417265
Generation 70, Best fitness: 29.602785302156, Average fitness: 24.805997212013995
Generation 71, Best fitness: 29.91166808277785, Average fitness: 24.78328073070684
