Generation 0, Best fitness: 33.275121827591924, Average fitness: 26.98059833967291
Generation 1, Best fitness: 33.275121827591924, Average fitness: 26.79418079331778
Generation 2, Best fitness: 33.47406539310829, Average fitness: 26.69653416342613
Generation 3, Best fitness: 33.275121827591924, Average fitness: 26.553551255094966
Generation 4, Best fitness: 33.214336723858544, Average fitness: 26.459657385690893
Generation 5, Best fitness: 33.214336723858544, Average fitness: 26.408939939838064
Generation 6, Best fitness: 33.275121827591924, Average fitness: 26.339557294990424
Generation 7, Best fitness: 33.214336723858544, Average fitness: 26.241537097083476
Generation 8, Best fitness: 33.06596861827995, Average fitness: 26.18751423905852
Generation 9, Best fitness: 33.41732147178047, Average fitness: 26.118178121755854
Generation 10, Best fitness: 33.41732147178047, Average fitness: 26.113128566005955
Generation 11, Best fitness: 33.231732989208325, Average fitness: 26.071338460953765
Generation 12, Best fitness: 33.082879813852145, Average fitness: 25.980136650797103
Generation 13, Best fitness: 33.082879813852145, Average fitness: 25.964890274994286
Generation 14, Best fitness: 33.40476439811339, Average fitness: 25.923283389266906
Generation 15, Best fitness: 32.906047612596595, Average fitness: 25.895239000308155
Generation 16, Best fitness: 32.906047612596595, Average fitness: 25.86051337673274
Generation 17, Best fitness: 32.906047612596595, Average fitness: 25.90093300927866
Generation 18, Best fitness: 32.734943862906704, Average fitness: 25.993783606061108
Generation 19, Best fitness: 33.244074163540645, Average fitness: 25.976267575569313
Generation 20, Best fitness: 33.21120554030578, Average fitness: 25.994289047738732
Generation 21, Best fitness: 33.2724721670105, Average fitness: 25.97998472343925
Generation 22, Best fitness: 33.2724721670105, Average fitness: 26.00197223152995
Generation 23, Best fitness: 32.83808986148304, Average fitness: 25.97154406457316
Generation 24, Best fitness: 33.091474264505415, Average fitness: 26.016073556414053
Generation 25, Best fitness: 33.08732887118105, Average fitness: 26.02025091291828
Generation 26, Best fitness: 33.08732887118105, Average fitness: 25.95955605271891
Generation 27, Best fitness: 33.08732887118105, Average fitness: 25.958750222347298
Generation 28, Best fitness: 33.15521182204859, Average fitness: 25.965838434718314
Generation 29, Best fitness: 33.24479660478724, Average fitness: 25.972106663884603
Generation 30, Best fitness: 33.24479660478724, Average fitness: 25.967853246927667
Generation 31, Best fitness: 33.06708282767067, Average fitness: 25.95433516448046
Generation 32, Best fitness: 33.23901619311192, Average fitness: 25.998521148834836
Generation 33, Best fitness: 33.06708282767067, Average fitness: 25.990612200763138
