Population: 200, Number of Generations: 200
Generation 0, Best fitness: 30.46672593905662, Average fitness: 24.07396571048516
Generation 1, Best fitness: 30.46672593905662, Average fitness: 23.88540125293684
Generation 2, Best fitness: 30.46672593905662, Average fitness: 23.746305033228428
Generation 3, Best fitness: 30.01443933445529, Average fitness: 23.47802493874709
Generation 4, Best fitness: 30.01443933445529, Average fitness: 23.39962854280574
Generation 5, Best fitness: 30.01443933445529, Average fitness: 23.316520716067327
Generation 6, Best fitness: 29.631387757743575, Average fitness: 23.208981160693014
Generation 7, Best fitness: 29.600121542680533, Average fitness: 23.06583920436398
Generation 8, Best fitness: 29.600121542680533, Average fitness: 22.99789910930149
Generation 9, Best fitness: 29.609348615496636, Average fitness: 23.02545896064628
Generation 10, Best fitness: 29.89130110500816, Average fitness: 22.900828623795825
Generation 11, Best fitness: 29.491636876323895, Average fitness: 22.784433399787467
Generation 12, Best fitness: 30.11464441798548, Average fitness: 22.78301768093913
Generation 13, Best fitness: 30.11464441798548, Average fitness: 22.683244423358474
Generation 14, Best fitness: 29.61747699107437, Average fitness: 22.91338011832316
Generation 15, Best fitness: 29.887311456066655, Average fitness: 22.97337327576546
Generation 16, Best fitness: 30.71490071786284, Average fitness: 22.96593155276828
Generation 17, Best fitness: 30.71490071786284, Average fitness: 22.885674772868263
Generation 18, Best fitness: 30.71490071786284, Average fitness: 22.7192534365622
Generation 19, Best fitness: 30.71490071786284, Average fitness: 22.687150578345197
Generation 20, Best fitness: 30.71490071786284, Average fitness: 22.70898932278319
Generation 21, Best fitness: 30.29092712789562, Average fitness: 22.703481339186666
Generation 22, Best fitness: 30.525135419568965, Average fitness: 22.63753179525786
Generation 23, Best fitness: 30.570552867089912, Average fitness: 22.752525538266212
Generation 24, Best fitness: 30.525135419568965, Average fitness: 22.773984469450944
Generation 25, Best fitness: 30.525135419568965, Average fitness: 22.77564374063229
Generation 26, Best fitness: 30.525135419568965, Average fitness: 22.729031724435675
Generation 27, Best fitness: 30.525135419568965, Average fitness: 22.51692869995766
Generation 28, Best fitness: 29.933600371920885, Average fitness: 22.55930688509068
Generation 29, Best fitness: 30.525135419568965, Average fitness: 22.585695538844128
Generation 30, Best fitness: 30.230011769273133, Average fitness: 22.585712454732466
Generation 31, Best fitness: 30.725519731530284, Average fitness: 22.728090915286035
