Population: 200, Number of Generations: 200
Generation 0, Best fitness: 35.42463756921368, Average fitness: 28.475884052367984
Generation 1, Best fitness: 35.1268642446843, Average fitness: 28.281173479941355
Generation 2, Best fitness: 35.1268642446843, Average fitness: 28.05100786029342
Generation 3, Best fitness: 35.1268642446843, Average fitness: 27.885355591603606
Generation 4, Best fitness: 35.1268642446843, Average fitness: 27.718265758180078
Generation 5, Best fitness: 35.54251717651704, Average fitness: 27.568880888060768
Generation 6, Best fitness: 34.90920441920902, Average fitness: 27.445430778574565
Generation 7, Best fitness: 34.90920441920902, Average fitness: 27.284267284448916
Generation 8, Best fitness: 34.6300948305424, Average fitness: 27.19050526398606
Generation 9, Best fitness: 34.6300948305424, Average fitness: 27.065248320745138
Generation 10, Best fitness: 34.6300948305424, Average fitness: 27.188359772526166
Generation 11, Best fitness: 34.82087774134866, Average fitness: 27.246298569919723
Generation 12, Best fitness: 35.22398489921726, Average fitness: 27.365772445322676
Generation 13, Best fitness: 35.144248446145816, Average fitness: 27.152071850235913
Generation 14, Best fitness: 35.360929829967716, Average fitness: 27.15898453014396
Generation 15, Best fitness: 35.13459617145559, Average fitness: 27.12326057401053
Generation 16, Best fitness: 34.819163409120286, Average fitness: 27.261789508669654
Generation 17, Best fitness: 35.61229781807312, Average fitness: 27.250220706921578
Generation 18, Best fitness: 35.61229781807312, Average fitness: 27.126343988010014
Generation 19, Best fitness: 34.537872093496695, Average fitness: 26.964661101050652
Generation 20, Best fitness: 34.537872093496695, Average fitness: 26.873251646142172
Generation 21, Best fitness: 34.537872093496695, Average fitness: 26.737162467077297
Generation 22, Best fitness: 35.337411329470754, Average fitness: 26.748848804094887
Generation 23, Best fitness: 35.337411329470754, Average fitness: 26.7473616774735
Generation 24, Best fitness: 34.837172063855256, Average fitness: 26.97001338178117
Generation 25, Best fitness: 34.64186130577139, Average fitness: 26.923245402850142
Generation 26, Best fitness: 34.64186130577139, Average fitness: 26.785698041482274
Generation 27, Best fitness: 34.338595230236876, Average fitness: 26.894536079644624
Generation 28, Best fitness: 34.26570207903747, Average fitness: 26.857634868853065
Generation 29, Best fitness: 34.26570207903747, Average fitness: 26.71397587909228
Generation 30, Best fitness: 34.41906341649331, Average fitness: 26.944593086821286
Generation 31, Best fitness: 34.66140627641421, Average fitness: 26.807986197192562
Generation 32, Best fitness: 35.57314017610577, Average fitness: 26.69519155842569
Generation 33, Best fitness: 35.1880006010432, Average fitness: 26.579380740034217
Generation 34, Best fitness: 35.1880006010432, Average fitness: 26.688919034289025
Generation 35, Best fitness: 34.82831909840202, Average fitness: 26.689249187578625
Generation 36, Best fitness: 34.82831909840202, Average fitness: 26.855535926194833
Generation 37, Best fitness: 34.633551357570724, Average fitness: 27.077645706883054
Generation 38, Best fitness: 34.99221295409302, Average fitness: 27.1244071002594
Generation 39, Best fitness: 34.99221295409302, Average fitness: 26.917753901756946
Generation 40, Best fitness: 34.93600326079085, Average fitness: 26.728958046967737
Generation 41, Best fitness: 34.25683151857184, Average fitness: 26.685279411069395
Generation 42, Best fitness: 35.3601651465262, Average fitness: 26.902214295488886
Generation 43, Best fitness: 35.40813045935651, Average fitness: 26.93761198159538
Generation 44, Best fitness: 35.40813045935651, Average fitness: 26.902669226871975
Generation 45, Best fitness: 35.40813045935651, Average fitness: 26.938036497074464
Generation 46, Best fitness: 35.08491604078013, Average fitness: 26.87299594014436
Generation 47, Best fitness: 34.92869768038569, Average fitness: 26.929027749104435
Generation 48, Best fitness: 35.11674539352563, Average fitness: 26.99368097727315
Generation 49, Best fitness: 35.11674539352563, Average fitness: 26.80386604141252
Generation 50, Best fitness: 35.10331120176411, Average fitness: 26.739515331094108
Generation 51, Best fitness: 35.10331120176411, Average fitness: 26.850554752078825
Generation 52, Best fitness: 35.04889936780398, Average fitness: 26.838242644455782
Generation 53, Best fitness: 35.04889936780398, Average fitness: 26.989122938178653
Generation 54, Best fitness: 35.00960092273982, Average fitness: 26.860260132311012
Generation 55, Best fitness: 35.3210349141047, Average fitness: 26.889116440942715
Generation 56, Best fitness: 35.3210349141047, Average fitness: 26.920106715160156
Generation 57, Best fitness: 35.147570180316855, Average fitness: 26.998909201805382
Generation 58, Best fitness: 35.531180345833654, Average fitness: 27.08496706974807
Generation 59, Best fitness: 35.531180345833654, Average fitness: 26.94208421565054
Generation 60, Best fitness: 35.061711236958416, Average fitness: 27.142401285784395
Generation 61, Best fitness: 35.39439160511299, Average fitness: 27.02270965428422
Generation 62, Best fitness: 35.39439160511299, Average fitness: 27.041481047845963
Generation 63, Best fitness: 35.39439160511299, Average fitness: 26.79311112200875
Generation 64, Best fitness: 34.924324538830874, Average fitness: 26.63199067490974
Generation 65, Best fitness: 34.924324538830874, Average fitness: 26.5716095647772
Generation 66, Best fitness: 34.183425890480564, Average fitness: 26.581627916239814
Generation 67, Best fitness: 35.0932062695029, Average fitness: 26.577869457300217
Generation 68, Best fitness: 35.0932062695029, Average fitness: 26.729689971796596
Generation 69, Best fitness: 35.0932062695029, Average fitness: 26.700340402315792
Generation 70, Best fitness: 35.0932062695029, Average fitness: 26.795246493365156
Generation 71, Best fitness: 34.809508123318814, Average fitness: 26.624176487567688
Generation 72, Best fitness: 35.20177191549674, Average fitness: 26.66677490397683
Generation 73, Best fitness: 35.337411329470754, Average fitness: 26.62261017836573
Generation 74, Best fitness: 35.337411329470754, Average fitness: 26.83062285138513
Generation 75, Best fitness: 34.83636060120631, Average fitness: 26.87932403275527
Generation 76, Best fitness: 35.50045257085924, Average fitness: 26.698632629324837
Generation 77, Best fitness: 35.50045257085924, Average fitness: 26.68479355791476
Generation 78, Best fitness: 34.523826896629465, Average fitness: 26.774940561478452
Generation 79, Best fitness: 35.05072613853156, Average fitness: 26.787962109094636
Generation 80, Best fitness: 35.41325832937649, Average fitness: 26.89328243282672
Generation 81, Best fitness: 35.05072613853156, Average fitness: 26.873251674551565
Generation 82, Best fitness: 35.18847134821185, Average fitness: 26.739579227401784
Generation 83, Best fitness: 35.18847134821185, Average fitness: 26.74098475294013
Generation 84, Best fitness: 35.18847134821185, Average fitness: 26.87357562466975
Generation 85, Best fitness: 35.46785973093404, Average fitness: 26.90649420707476
Generation 86, Best fitness: 35.235461351001405, Average fitness: 26.94227615538932
Generation 87, Best fitness: 35.235461351001405, Average fitness: 26.970098149337375
Generation 88, Best fitness: 35.46785973093404, Average fitness: 26.867907692325605
Generation 89, Best fitness: 35.46785973093404, Average fitness: 26.99013608266937
Generation 90, Best fitness: 35.46785973093404, Average fitness: 26.962343921322258
Generation 91, Best fitness: 35.242594345885934, Average fitness: 26.98835035973118
Generation 92, Best fitness: 35.242594345885934, Average fitness: 27.005512015885532
Generation 93, Best fitness: 35.242594345885934, Average fitness: 26.739879206848663
Generation 94, Best fitness: 35.2351117098427, Average fitness: 26.54784307276847
Generation 95, Best fitness: 35.2351117098427, Average fitness: 26.317927717851017
Generation 96, Best fitness: 35.06804271134653, Average fitness: 26.15713648935899
