Population: 100, Number of Generations: 200
Generation 0, Best fitness: 32.9490196387873, Average fitness: 25.528403916812874
Generation 1, Best fitness: 32.718445239118566, Average fitness: 25.05819827274071
Generation 2, Best fitness: 32.4030971777883, Average fitness: 24.907718093799676
Generation 3, Best fitness: 32.4030971777883, Average fitness: 25.007762430398152
Generation 4, Best fitness: 32.21203290380273, Average fitness: 24.879010223011605
Generation 5, Best fitness: 32.21203290380273, Average fitness: 24.940992331285116
Generation 6, Best fitness: 32.661396243380956, Average fitness: 24.881138725732043
Generation 7, Best fitness: 32.547545200574774, Average fitness: 24.591590585485832
Generation 8, Best fitness: 31.803974397609093, Average fitness: 24.42195375374479
Generation 9, Best fitness: 32.60799568606768, Average fitness: 24.43685661209573
Generation 10, Best fitness: 31.803974397609093, Average fitness: 24.55608191028649
Generation 11, Best fitness: 31.803974397609093, Average fitness: 24.358510652570136
Generation 12, Best fitness: 32.21203290380273, Average fitness: 23.83182743715494
Generation 13, Best fitness: 32.44417790039658, Average fitness: 23.80104161305178
Generation 14, Best fitness: 32.20999924083549, Average fitness: 23.547970391316998
Generation 15, Best fitness: 32.34897743225255, Average fitness: 23.68613011755484
Generation 16, Best fitness: 32.34897743225255, Average fitness: 23.920858335188267
Generation 17, Best fitness: 32.009610293394516, Average fitness: 23.790758396777377
Generation 18, Best fitness: 32.21252721404238, Average fitness: 23.639340075298215
Generation 19, Best fitness: 32.009610293394516, Average fitness: 23.812331451825326
Generation 20, Best fitness: 32.009610293394516, Average fitness: 23.714575651935277
Generation 21, Best fitness: 32.009610293394516, Average fitness: 23.692371713759783
Generation 22, Best fitness: 31.16099290438026, Average fitness: 23.457190200680124
Generation 23, Best fitness: 31.84197513594327, Average fitness: 23.47224578256409
Generation 24, Best fitness: 31.84197513594327, Average fitness: 23.56471720143848
Generation 25, Best fitness: 31.84197513594327, Average fitness: 23.72883674008662
Generation 26, Best fitness: 31.31769750512519, Average fitness: 23.696729860449015
Generation 27, Best fitness: 31.286845786386003, Average fitness: 23.971642256425284
Generation 28, Best fitness: 31.238133969628556, Average fitness: 24.032346988496567
Generation 29, Best fitness: 31.986449944578162, Average fitness: 24.34703594943449
Generation 30, Best fitness: 32.263361072510236, Average fitness: 24.250888904912326
Generation 31, Best fitness: 31.771133910352386, Average fitness: 23.94107786935802
Generation 32, Best fitness: 32.0207125710379, Average fitness: 23.923905989911592
Generation 33, Best fitness: 32.06763464104998, Average fitness: 23.803153576207514
Generation 34, Best fitness: 32.06763464104998, Average fitness: 23.865829855652134
Generation 35, Best fitness: 32.06763464104998, Average fitness: 23.990308703410083
Generation 36, Best fitness: 32.358977679983184, Average fitness: 23.85344679519972
Generation 37, Best fitness: 32.44417790039658, Average fitness: 23.911951098330704
Generation 38, Best fitness: 32.358977679983184, Average fitness: 24.269446662822983
Generation 39, Best fitness: 32.358977679983184, Average fitness: 24.482170064150832
Generation 40, Best fitness: 32.01373741166991, Average fitness: 24.559806296930997
Generation 41, Best fitness: 32.01373741166991, Average fitness: 24.52063507668025
Generation 42, Best fitness: 32.11238794854142, Average fitness: 24.791196222296517
Generation 43, Best fitness: 31.1217992318426, Average fitness: 24.718146127284214
Generation 44, Best fitness: 31.228280986364734, Average fitness: 24.661603675389056
Generation 45, Best fitness: 31.57485621668126, Average fitness: 24.597903461463776
Generation 46, Best fitness: 31.57485621668126, Average fitness: 24.419282183193896
Generation 47, Best fitness: 31.228280986364734, Average fitness: 24.059350797365724
Generation 48, Best fitness: 32.48095127803762, Average fitness: 24.08337284149889
Generation 49, Best fitness: 32.17293232027807, Average fitness: 24.262149753827966
Generation 50, Best fitness: 32.17293232027807, Average fitness: 24.109256699161268
Generation 51, Best fitness: 32.17293232027807, Average fitness: 24.27854597277937
Generation 52, Best fitness: 32.17293232027807, Average fitness: 24.493140789578202
Generation 53, Best fitness: 32.17293232027807, Average fitness: 24.69351606342596
