Population: 100, Number of Generations: 200
Generation 0, Best fitness: 32.76320945667092, Average fitness: 27.417327816499622
Generation 1, Best fitness: 32.76320945667092, Average fitness: 27.33305544684767
Generation 2, Best fitness: 32.76320945667092, Average fitness: 26.95223770378149
Generation 3, Best fitness: 32.61255456120356, Average fitness: 26.76194833060406
Generation 4, Best fitness: 32.767474316748334, Average fitness: 26.4179971107441
Generation 5, Best fitness: 32.909164672503366, Average fitness: 26.480040944590993
Generation 6, Best fitness: 33.18242723536615, Average fitness: 26.59272129238561
Generation 7, Best fitness: 32.95596124512832, Average fitness: 26.27141915248996
Generation 8, Best fitness: 32.767474316748334, Average fitness: 26.13193321302047
Generation 9, Best fitness: 32.767474316748334, Average fitness: 25.985279189457277
Generation 10, Best fitness: 32.767474316748334, Average fitness: 25.91720848802156
Generation 11, Best fitness: 32.21095811274139, Average fitness: 25.996511227956105
Generation 12, Best fitness: 33.05829031666981, Average fitness: 25.973497456030756
Generation 13, Best fitness: 33.05829031666981, Average fitness: 25.8718871100759
Generation 14, Best fitness: 33.05829031666981, Average fitness: 25.841937631981587
Generation 15, Best fitness: 32.35976774807383, Average fitness: 25.936857489743115
Generation 16, Best fitness: 32.98151345520197, Average fitness: 25.889560527053224
Generation 17, Best fitness: 32.859617565067, Average fitness: 25.973604530614175
Generation 18, Best fitness: 32.59034736083821, Average fitness: 25.895100638661564
Generation 19, Best fitness: 33.268538008213845, Average fitness: 25.958397411208455
Generation 20, Best fitness: 32.47854575839352, Average fitness: 25.995014588641897
Generation 21, Best fitness: 33.268538008213845, Average fitness: 26.08374019720964
Generation 22, Best fitness: 33.268538008213845, Average fitness: 25.83315048193733
Generation 23, Best fitness: 32.22490523575947, Average fitness: 25.638597327522625
Generation 24, Best fitness: 32.22490523575947, Average fitness: 25.579319074636995
Generation 25, Best fitness: 32.52101537723952, Average fitness: 25.450121199462952
Generation 26, Best fitness: 33.477435474979636, Average fitness: 25.3816569478647
Generation 27, Best fitness: 33.06674123984892, Average fitness: 25.367523973971203
Generation 28, Best fitness: 33.037101282536725, Average fitness: 25.576691933848416
Generation 29, Best fitness: 33.037101282536725, Average fitness: 25.653210848641326
Generation 30, Best fitness: 33.037101282536725, Average fitness: 25.867841350271
Generation 31, Best fitness: 32.89814727227473, Average fitness: 25.711649492831054
Generation 32, Best fitness: 33.08593340726773, Average fitness: 25.693406242292372
Generation 33, Best fitness: 33.040216280747565, Average fitness: 25.870468393760497
Generation 34, Best fitness: 33.040216280747565, Average fitness: 25.67087225984785
Generation 35, Best fitness: 33.040216280747565, Average fitness: 25.45174633671037
Generation 36, Best fitness: 32.8185282446471, Average fitness: 25.47508708122763
Generation 37, Best fitness: 32.47019020618959, Average fitness: 25.65282302208464
Generation 38, Best fitness: 33.19591676351977, Average fitness: 25.515403914357684
Generation 39, Best fitness: 33.19591676351977, Average fitness: 25.270568248245272
Generation 40, Best fitness: 32.047265650088846, Average fitness: 25.271129888923337
Generation 41, Best fitness: 32.46255264683059, Average fitness: 25.243494136570988
Generation 42, Best fitness: 33.19591676351977, Average fitness: 25.44379054955321
Generation 43, Best fitness: 33.19591676351977, Average fitness: 25.373818577617357
Generation 44, Best fitness: 33.19591676351977, Average fitness: 25.373456318426165
Generation 45, Best fitness: 31.807938747873102, Average fitness: 25.411160733289847
Generation 46, Best fitness: 32.205537935603175, Average fitness: 25.286060432909554
Generation 47, Best fitness: 32.47854575839352, Average fitness: 25.72966284167278
Generation 48, Best fitness: 32.47854575839352, Average fitness: 25.732353918315518
Generation 49, Best fitness: 32.47854575839352, Average fitness: 25.640281338790427
Generation 50, Best fitness: 32.80842687305763, Average fitness: 25.63384327941468
Generation 51, Best fitness: 32.80842687305763, Average fitness: 25.506426457821377
Generation 52, Best fitness: 33.18242723536615, Average fitness: 25.32059127835153
Generation 53, Best fitness: 33.18242723536615, Average fitness: 25.331368764181526
Generation 54, Best fitness: 33.608209224811205, Average fitness: 25.49122234492411
Generation 55, Best fitness: 32.16554960014699, Average fitness: 25.583704828167946
Generation 56, Best fitness: 32.72242977276295, Average fitness: 25.715005486061546
Generation 57, Best fitness: 32.72242977276295, Average fitness: 25.470795355247983
Generation 58, Best fitness: 32.72242977276295, Average fitness: 25.71490908435545
Generation 59, Best fitness: 33.02154367872783, Average fitness: 25.583617891337685
Generation 60, Best fitness: 33.0872481049305, Average fitness: 25.698620729785915
Generation 61, Best fitness: 33.02154367872783, Average fitness: 25.515929771882362
Generation 62, Best fitness: 32.990532631392924, Average fitness: 25.282135671852465
Generation 63, Best fitness: 32.990532631392924, Average fitness: 24.90097218723625
Generation 64, Best fitness: 33.040216280747565, Average fitness: 24.934374019340577
Generation 65, Best fitness: 33.040216280747565, Average fitness: 25.051606833501587
Generation 66, Best fitness: 32.205147474291685, Average fitness: 25.152909109010363
Generation 67, Best fitness: 32.205147474291685, Average fitness: 25.047585873535912
Generation 68, Best fitness: 32.12722415736042, Average fitness: 25.106342489074677
Generation 69, Best fitness: 31.667943498202845, Average fitness: 25.195188141678386
Generation 70, Best fitness: 33.06062456496515, Average fitness: 25.279182935504355
Generation 71, Best fitness: 32.57152233362713, Average fitness: 25.360896179548796
Generation 72, Best fitness: 32.858885168666994, Average fitness: 25.162219733833208
Generation 73, Best fitness: 31.947739719847075, Average fitness: 25.43342495120087
Generation 74, Best fitness: 32.28407176566503, Average fitness: 25.79803456396566
Generation 75, Best fitness: 32.26532401068976, Average fitness: 25.919438484526424
Generation 76, Best fitness: 32.510736036133075, Average fitness: 25.794203565856538
Generation 77, Best fitness: 32.510736036133075, Average fitness: 25.85567152473745
Generation 78, Best fitness: 32.510736036133075, Average fitness: 25.8826152038356
Generation 79, Best fitness: 32.323398473023055, Average fitness: 25.820727607539492
Generation 80, Best fitness: 33.24978964162478, Average fitness: 25.68998301889724
Generation 81, Best fitness: 32.86904360905502, Average fitness: 25.594152609970006
Generation 82, Best fitness: 32.86904360905502, Average fitness: 25.47524509087027
Generation 83, Best fitness: 32.86904360905502, Average fitness: 25.1862003983304
Generation 84, Best fitness: 32.86904360905502, Average fitness: 25.469250439133702
Generation 85, Best fitness: 32.86904360905502, Average fitness: 25.424831046790064
Generation 86, Best fitness: 32.860416722101206, Average fitness: 25.466289633034794
Generation 87, Best fitness: 32.860416722101206, Average fitness: 25.559566411023233
Generation 88, Best fitness: 32.7922012672189, Average fitness: 25.596699063172046
Generation 89, Best fitness: 32.7922012672189, Average fitness: 25.83166484495608
Generation 90, Best fitness: 33.324894513790866, Average fitness: 25.74340388895249
Generation 91, Best fitness: 32.86904360905502, Average fitness: 25.75752487120436
Generation 92, Best fitness: 32.86904360905502, Average fitness: 25.58456161661055
Generation 93, Best fitness: 32.86904360905502, Average fitness: 25.630223053805945
Generation 94, Best fitness: 32.79756685496826, Average fitness: 25.60703463621189
Generation 95, Best fitness: 33.23684330384331, Average fitness: 25.683639126979394
Generation 96, Best fitness: 32.97211079563055, Average fitness: 25.727662499352938
Generation 97, Best fitness: 33.1594568578759, Average fitness: 25.660997106111726
Generation 98, Best fitness: 33.23684330384331, Average fitness: 25.966115760706142
Generation 99, Best fitness: 32.64193838574516, Average fitness: 25.560903381481825
Generation 100, Best fitness: 32.4885676426557, Average fitness: 25.41315580821655
Generation 101, Best fitness: 32.844616921864805, Average fitness: 25.35350721156992
Generation 102, Best fitness: 32.844616921864805, Average fitness: 25.571561758204986
Generation 103, Best fitness: 32.44642456357592, Average fitness: 25.830933493847798
Generation 104, Best fitness: 32.3841430694081, Average fitness: 25.71427699902755
Generation 105, Best fitness: 33.21570520000137, Average fitness: 25.946966006873698
Generation 106, Best fitness: 33.21570520000137, Average fitness: 25.94166930553248
Generation 107, Best fitness: 33.21570520000137, Average fitness: 25.861940991207305
Generation 108, Best fitness: 33.21570520000137, Average fitness: 25.643390477373035
Generation 109, Best fitness: 32.16241270038945, Average fitness: 25.58480702274122
Generation 110, Best fitness: 32.16241270038945, Average fitness: 25.621472133816084
Generation 111, Best fitness: 32.52940348905853, Average fitness: 25.620715443666708
Generation 112, Best fitness: 32.35028473324245, Average fitness: 25.39318387707902
Generation 113, Best fitness: 32.837721370569184, Average fitness: 25.243598210162478
Generation 114, Best fitness: 32.837721370569184, Average fitness: 24.989942438802704
Generation 115, Best fitness: 32.96808936654954, Average fitness: 24.93551118741631
