Population: 300, Number of Generations: 400
Generation 0, Best fitness: 28.59006621391883, Average fitness: 23.68618193953856
Generation 1, Best fitness: 28.59006621391883, Average fitness: 23.298343696078717
Generation 2, Best fitness: 28.59006621391883, Average fitness: 23.199881777517323
Generation 3, Best fitness: 28.156198506187778, Average fitness: 23.03739771937536
Generation 4, Best fitness: 28.148879295308483, Average fitness: 22.817834242188248
Generation 5, Best fitness: 28.148879295308483, Average fitness: 22.675091789411127
Generation 6, Best fitness: 28.317779103088036, Average fitness: 22.608931511249885
Generation 7, Best fitness: 28.317779103088036, Average fitness: 22.46777095820032
Generation 8, Best fitness: 28.292378143202793, Average fitness: 22.401171172224963
Generation 9, Best fitness: 28.292378143202793, Average fitness: 22.271691469842178
Generation 10, Best fitness: 28.422930645052595, Average fitness: 22.274520208950232
Generation 11, Best fitness: 28.64703889588913, Average fitness: 22.271469387780236
Generation 12, Best fitness: 28.638802647724905, Average fitness: 22.308333106254544
Generation 13, Best fitness: 28.638802647724905, Average fitness: 22.361969038741112
Generation 14, Best fitness: 28.638802647724905, Average fitness: 22.45730146638146
Generation 15, Best fitness: 28.638802647724905, Average fitness: 22.275054488547024
Generation 16, Best fitness: 28.664759754219805, Average fitness: 22.392453191962332
Generation 17, Best fitness: 28.664759754219805, Average fitness: 22.217423198379713
Generation 18, Best fitness: 28.521587629392844, Average fitness: 22.148312921233696
Generation 19, Best fitness: 28.536096249102606, Average fitness: 22.18474626053066
Generation 20, Best fitness: 28.536096249102606, Average fitness: 22.223791988395
Generation 21, Best fitness: 28.65235985093839, Average fitness: 22.33567136857012
Generation 22, Best fitness: 28.990192569918655, Average fitness: 22.262083631281495
Generation 23, Best fitness: 28.990192569918655, Average fitness: 22.12137403782969
Generation 24, Best fitness: 28.551457051486608, Average fitness: 22.160440735904533
Generation 25, Best fitness: 28.384603612566487, Average fitness: 22.14134785138234
Generation 26, Best fitness: 28.206008428133885, Average fitness: 22.11623780296052
Generation 27, Best fitness: 28.206008428133885, Average fitness: 22.183322437404644
Generation 28, Best fitness: 28.21012692850308, Average fitness: 22.359159595449384
Generation 29, Best fitness: 28.25433468707817, Average fitness: 22.331347683573153
Generation 30, Best fitness: 28.19283864424623, Average fitness: 22.351465166279723
Generation 31, Best fitness: 28.19283864424623, Average fitness: 22.379000311205914
Generation 32, Best fitness: 28.19283864424623, Average fitness: 22.351209895630216
Generation 33, Best fitness: 28.19283864424623, Average fitness: 22.292623844066863
Generation 34, Best fitness: 27.896566139576926, Average fitness: 22.14109841371048
Generation 35, Best fitness: 27.863842164052123, Average fitness: 22.142571743042353
Generation 36, Best fitness: 28.677334935981946, Average fitness: 22.047825154056746
Generation 37, Best fitness: 28.112091281345357, Average fitness: 22.130949226981848
Generation 38, Best fitness: 28.112091281345357, Average fitness: 22.173720549398087
Generation 39, Best fitness: 28.166118004717564, Average fitness: 22.06191118243481
Generation 40, Best fitness: 28.05513489120621, Average fitness: 22.19591903262635
Generation 41, Best fitness: 28.26462074866175, Average fitness: 22.233125566993635
Generation 42, Best fitness: 28.26462074866175, Average fitness: 22.122680137289578
Generation 43, Best fitness: 28.05513489120621, Average fitness: 22.119625698167464
Generation 44, Best fitness: 28.05513489120621, Average fitness: 22.24202989073962
Generation 45, Best fitness: 28.079728400522093, Average fitness: 22.22667720107345
Generation 46, Best fitness: 27.544192573153982, Average fitness: 22.0680663691793
Generation 47, Best fitness: 28.079728400522093, Average fitness: 22.20767477043587
Generation 48, Best fitness: 28.079728400522093, Average fitness: 22.177127619955424
Generation 49, Best fitness: 28.079728400522093, Average fitness: 22.12278678407242
Generation 50, Best fitness: 28.079728400522093, Average fitness: 22.080762568998196
Generation 51, Best fitness: 28.10672859446739, Average fitness: 22.216524665885746
Generation 52, Best fitness: 28.10672859446739, Average fitness: 22.405158285879814
Generation 53, Best fitness: 28.079728400522093, Average fitness: 22.37538369007464
Generation 54, Best fitness: 28.670554198398257, Average fitness: 22.333464324741897
Generation 55, Best fitness: 28.670554198398257, Average fitness: 22.233682947695044
Generation 56, Best fitness: 28.259232534322788, Average fitness: 22.218283960184756
Generation 57, Best fitness: 28.259232534322788, Average fitness: 22.153781892568624
Generation 58, Best fitness: 28.259232534322788, Average fitness: 22.14135259195881
Generation 59, Best fitness: 28.419548882693935, Average fitness: 21.935891465298234
Generation 60, Best fitness: 27.87393235378896, Average fitness: 21.986193568481987
Generation 61, Best fitness: 28.056661558140448, Average fitness: 22.128484840307337
Generation 62, Best fitness: 28.369852028348852, Average fitness: 22.08391280961232
Generation 63, Best fitness: 28.056661558140448, Average fitness: 22.051943273248142
Generation 64, Best fitness: 28.079667600136624, Average fitness: 22.02389356315775
